batch_size,prompt_length,output_length,dtype,ttft_ms,tpot_ms,tpot_p99_ms,throughput_tok_per_s,total_time_ms
1,128,128,bfloat16,26.97772789001465,26.399967193603516,29.67489601135254,37.58223982258541,3405.8640625
1,512,128,bfloat16,28.0053768157959,26.512575149536133,28.439159393310547,37.55299082502779,3408.516796875
1,2048,128,bfloat16,81.3051528930664,26.43516731262207,26.842485580444336,37.128223466401444,3447.512109375
1,8192,128,bfloat16,331.3109130859375,26.35910415649414,27.97402877807617,34.68138593456428,3690.740625
1,512,128,bfloat16,27.78927993774414,26.420671463012695,26.75920883178711,37.73338086854947,3392.221875
4,512,128,bfloat16,77.75334167480469,26.817951202392578,28.744565734863283,146.53146521515492,3494.130078125
16,512,128,bfloat16,280.05902099609375,26.722848892211914,27.898834533691407,555.8755149626496,3684.278125
64,512,128,bfloat16,1095.21630859375,26.317760467529297,26.760020599365234,1842.5021702961858,4446.127734375
