batch_size,prompt_length,output_length,ttft_ms,tpot_ms,tpot_p99_ms,throughput_tok_per_s,peak_mem_gb,analytical_ai_ffn_up,oom
1,512,128,28.536640167236328,26.87264060974121,39.360842590332034,36.35292894040424,6.35695616,0.9994212109175509,False
2,512,128,44.80339050292969,26.952224731445312,30.106124267578124,72.54165602430527,6.53351424,1.9976861828822903,False
4,512,128,77.66252899169922,27.15123176574707,32.4258024597168,141.18899129741013,6.887154688,3.9907554266551863,False
8,512,128,146.02777099609375,27.278335571289062,32.565863342285155,278.97099577046595,7.594304512,7.96310697169726,False
16,512,128,282.2744445800781,27.97318458557129,35.76227516174316,526.5304493060571,9.00532736,15.853105310531053,False
32,512,128,556.46630859375,27.78860855102539,31.20904670715332,992.8802969997731,11.83025664,31.41776667855869,False
64,512,128,1103.675537109375,27.2574405670166,30.617160835266112,1776.1700900491926,17.4801152,61.71268395234758,False
128,512,128,2208.266845703125,26.42095947265625,29.38269645690918,2920.176149376305,28.77983232,119.16644113667118,False
256,512,128,4425.14208984375,37.69414520263672,39.90117408752442,3560.363984189191,51.37926656,222.94683544303797,False
